repo,num_go_files_scanned,num_config_files_scanned,implements_total,interfaces_total,has_any_listener_field,has_any_resource_spec,deploy_hints,todos_found
ServiceWeaver/weaver,376,20,140,155,True,True,"multi,kube,ssh,gke,single",True
bigwhite/experiments,1201,165,7,117,True,False,"kube,multi,gke,single",True
ServiceWeaver/workshops,59,9,24,14,True,False,"multi,kube,single,gke",True
eminetto/microservices-serviceweaver,14,3,4,3,True,False,"multi,single",True
sagoo-cloud/nexframe,340,2,4,57,True,False,single,True
shijuvar/service-weaver,18,3,7,4,True,False,"multi,gke,single",True
wenjinfly/new_it,99,8,4,10,True,False,,True
renanbastos93/weaver-issue-556,4,1,3,2,False,False,,True
thePhenom21/talkative-auth,3,1,2,1,True,False,multi,True
GuidoGrogger/sudocu,6,1,5,4,True,False,single,True
ca-x/raycat,19,3,4,3,True,False,"multi,kube,single,gke",True
wst24365888/simple-auth-sw,5,2,2,2,True,False,multi,False
adonese/weaver,8,4,6,5,True,False,single,True
takkujunjieli/Emojis,10,1,6,5,True,False,"multi,single",True
elbombardi/service_weaver_demo,3,2,2,1,True,False,"multi,single",True
mwhittaker/calculator,56,8,12,31,True,False,"kube,single",True
nathan77886/weaver-ecs,5,1,2,1,True,False,single,True
rpuglielli/microservices-serviceweaver,10,3,3,2,True,False,"multi,single",True
jun3372/weaver,33,5,15,6,True,False,single,True
dvaumoron/puzzleweaver,76,1,14,18,True,False,,True
ServiceWeaver/weaver-kube,19,6,2,1,True,True,"kube,single",True
mafaldacf/weaver-dsb,24,14,13,12,True,False,"multi,gke,single",True
TimLiuDream/go-test,307,10,3,28,True,False,"multi,kube,single",True
pedromol/camelo,11,3,4,3,True,False,"multi,single",True
USC-NSL-DDB/socialnet-serviceweaver,27,4,14,21,True,False,"multi,kube,single",True
XCWeaver/benchmarks,184,2136,96,82,True,True,"multi,kube,ssh,gke,single",True
sagoo-cloud/weaver,321,6,119,139,True,False,"multi,kube,ssh,gke,single",True
iqbaaalll/emojis-task,7,1,4,3,True,False,"multi,single",True
DSC-HSU/codeathon_backend,41,12,6,5,True,False,"multi,kube,single",True
tachunwu/lsd,3,1,2,1,True,False,"multi,single",True
mikepigott/service-weaver-workshops,11,0,5,2,False,False,single,True
claudineijrdev/emojis,6,1,3,2,True,False,"multi,single",True
mendoncas/onlineboutique,36,88,12,11,True,False,"multi,kube,single,gke",True
feefs/laboratory,35,3,2,1,True,False,"multi,single",True
ktfth/rubico,8,4,2,0,False,False,,False
katonium/articles,12,21,5,2,True,False,"multi,kube,single,gke",True
vikaskumar1187/publisher_saasv2,44,11,1,5,True,False,"multi,kube,single",True
totoroyyb/SocialNetwork-serviceweaver,26,3,14,21,True,False,"multi,kube,single",True
Onks-dev/ServiceWeaver,5,1,2,2,True,False,,True
ServiceWeaver/onlineboutique,34,6,11,10,True,False,"multi,gke,single",True
alextanhongpin/go-serviceweaver,3,1,1,1,True,False,,True
TiagoMalhadas/xcweaver,302,8,97,112,True,False,"multi,kube,ssh,gke,single",True
ca-x/cfdog,9,3,2,1,True,False,"multi,kube,single,gke",True
ivanphanderson/emoji-search,5,1,2,1,True,False,"multi,single",True
go-swa/swa,88,4,4,15,True,False,"multi,single",False
k-yomo/service-weaver-practice,4,1,2,2,True,False,,True
thanhhuy5902/golangT7,20,3,5,4,True,False,,True
tuurGevers/GoProjects,65,3,2,1,True,False,"multi,single",True
alextanhongpin/restocknotif,27,1,4,8,True,False,,True
XCWeaver/xcweaver,205,2,22,40,True,False,"multi,kube,ssh,gke,single",True
vlaship/service_weaver_emojis,4,0,2,1,False,False,single,False
lffspaniol/service-weaver-test,3,1,2,1,True,False,"multi,single",False
kiramishima/shining_guardian,32,1,1,3,True,False,single,False
camilamedeir0s/bookinfo-serviceweaver,10,20,4,3,True,False,"multi,kube,single",True
ipfans/weaverdemo,5,2,2,1,True,False,"ssh,single",True
ServiceWeaver/database,60,9,6,7,True,False,"multi,ssh,single",True
therme/demorepo,2,3,2,1,True,False,"multi,kube,single,gke",False
futugyou/goproject-archived,482,26,2,40,True,False,"multi,kube,ssh,single",True
Atoo35/gingonic-service-weaver,6,2,1,0,True,False,single,False
Atoo35/gingonic-service-weaver-surrealdb,11,1,3,2,True,False,"multi,single",True
raissatito/weaver-excercise,6,1,3,2,True,False,"multi,single",True
kanengo/wdeployer,10,2,4,4,True,False,"kube,single",False
ServiceWeaver/weaver-gke,167,5,3,10,True,False,"kube,multi,gke,single",True
ethanwater/wksp-google-serviceweaver,5,3,3,2,True,False,"multi,single",True
renanbastos93/transaction-routine,18,4,2,2,True,False,"gke,single",True
charlbarrera/google_workshop,5,0,2,1,False,False,single,True
ForrestSu/go_learn,289,4,1,15,True,False,"multi,single",True
edmarfelipe/serviceweaver-example,5,1,2,2,True,False,,True
ktfth/harmony-workspace,9,5,2,1,True,False,"multi,single",True
devfullcycle/service-weaver-demo,5,1,2,2,True,False,,True
mwhittaker/cloudrun,2,1,1,0,True,False,multi,False
mwhittaker/templates,2,1,1,0,True,False,"multi,single",False
DmitryOvchinnikov/blueprint,155,31,1,13,True,False,"multi,kube,single",True
mwhittaker/jeagar,6,2,3,2,True,False,kube,True
guruakashsm/Weaver,3,4,3,2,True,False,multi,True
meirongdev/service_weaver_demo,2,1,2,1,True,False,multi,False
rgrandl/weaver-app,3,2,2,1,True,False,"multi,kube,single",True
lemon-mint/weaverutils,3,0,1,1,False,False,,True
asynched/service-weaver-demo,2,1,2,1,True,False,,True
po3rin/go_playground,240,27,1,13,True,False,single,True
vollee/vollee,3,1,1,1,True,False,,True
renanbastos93/boneless,13,2,0,0,False,False,single,True
gocn/translator,0,5,0,0,False,False,"gke,single",False
cloudnativeto/cloudnative.to,0,80,0,0,False,False,"multi,kube,gke",True
czyt/blog,0,63,0,0,False,True,"multi,kube,ssh,gke,single",True
lemon-1997/lemon-1997.github.io,0,8,0,0,False,False,"multi,gke,single",False
sagoo-cloud/nexframe-doc,0,2,0,0,False,False,"kube,ssh,gke",False
Atoo35/hashnode-articles,0,0,0,0,False,False,,False
unknowntpo/playground-2022,137,541,1,28,True,False,"multi,kube,ssh,single",True
BEN00262/service-weaver-explo,1,0,0,0,True,False,,False
alibaba/arthas,0,20,0,0,False,False,,False
potichacha/NLP,0,1,0,0,False,False,,False
Axot017/fateweaver.nvim,0,12,0,0,False,False,,False
Rohan-flutterint/arthas,0,125,0,0,False,False,single,False
majianzheng/jarboot,0,17,0,0,False,False,,False
Nitro-CI/arthas,0,132,0,0,False,False,single,False
infuq/arthas-v3.5.3,0,126,0,0,False,False,single,False
emtee40/arthas-java,0,137,0,0,False,False,single,False
qingxuanlin-s/arthas_debug,0,131,0,0,False,False,single,False
SE-project-arthas/Software-Engineering-Group-Project,0,17,0,0,False,False,,False
Yitong-web/2024-fall-CS5351-Software-Engineering-Group15,0,17,0,0,False,False,,False
Rohan-flutterint/arthas-core,0,132,0,0,False,False,single,False
revel/revel,92,5,0,13,False,False,"multi,single",True
remind101/empire,1557,29,0,208,False,False,"multi,ssh,single",True
NVIDIA/aistore,782,89,0,10,False,False,"multi,kube,single",True
blue-jay/blueprint,34,33,0,3,False,False,single,False
mjl-/mox,1427,14,0,182,False,False,"multi,ssh,single",True
inetaf/tcpproxy,13,1,0,4,False,False,,True
jfyne/live,40,8,0,2,False,False,,True
lesismal/nbio,58,8,0,7,False,False,single,False
chengshiwen/influxdb-cluster,735,7,0,217,False,False,"multi,ssh,single",True
snple/mqtt,46,1,0,4,False,False,single,False
GoogleCloudPlatform/cloud-sql-proxy,40,39,0,2,False,False,"gke,single",True
Consensys/handel,102,45,0,41,False,False,"multi,ssh,single",True
l7mp/stunner,104,54,0,26,False,False,"multi,kube,single",True
rabbitmq/amqp091-go,37,6,0,7,False,False,"multi,single",True
norunners/vue,22,0,0,2,False,False,single,True
albertito/chasquid,107,5,0,6,False,False,"multi,single",True
nanomsg/mangos,145,7,0,19,False,False,single,False
hazelcast/hazelcast-go-client,625,9,0,55,False,False,"multi,single",True
mafredri/cdp,252,9,0,259,False,False,"multi,single",True
jbenet/go-peerstream,11,3,0,3,False,False,,True
control-center/serviced,3187,156,0,429,False,False,"multi,ssh,single",True
tidwall/uhaha,5,1,0,12,False,False,single,True
asteris-llc/converge,1774,78,0,234,False,False,"multi,ssh,single",True
Primetalk/goio,84,3,0,5,False,False,single,True
One-com/gone,104,0,0,41,False,False,single,True
mautrix/imessage,59,7,0,6,False,False,single,True
lightninglabs/pool,129,7,0,64,False,False,"multi,single",True
sausheong/tanuki,17,3,0,0,False,False,multi,False
gazed/vu,123,2,0,11,False,False,"multi,single",True
iDigitalFlame/XMT,492,3,0,41,False,False,"multi,single",True
k-sone/snmpgo,34,1,0,8,False,False,,True
flier/curator.go,55,0,0,54,False,False,multi,False
andrepxx/go-dsp-guitar,49,2,0,18,False,False,single,False
libp2p/go-socket-activation,3,9,0,0,False,False,,False
database64128/shadowsocks-go,173,8,0,24,False,False,"multi,single",False
aichaos/scarecrow,419,4,0,45,False,False,"multi,ssh,single",True
get-ion/ion,1146,6,0,147,False,False,"multi,ssh,single",True
